id,label,sort,category,wikidataid,count,variants,,,,
PrincessDiana,Princess Diana,,person,Q9685,63,Princess Diana,Princess of Wales,Diana,Di,Lady Spencer
MeganGarber,Megan Garber,,person,,1,Megan Garber,,,,
Wales,Wales,,place,Q25,1,Wales,,,,
Bonn,Bonn,,place,Q586,1,Bonn,,,,
Germany,Germany,,place,Q183,1,Germany,,,,
HermanKnippertz,Herman Knippertz,,person,,1,Herman Knippertz,,,,
Newsweek,Newsweek,,organization,,2,Newsweek,,,,
TinaBrown,Tina Brown,,person,,6,Tina Brown,Brown,,,
KateMiddleton,Kate Middleton,,person,,1,Kate Middleton,,,,
Paris,Paris,,place,,2,Paris,,,,
DianeClehane,Diane Clehane,,person,,1,Diane Clehane,,,,
NationalGeographic,National Geographic,,organization,,2,National Geographic,,,,
CBS,CBS,,organization,,1,CBS,,,,
PBS,PBS,,organization,,1,PBS,,,,
TLC,TLC,,organization,,2,TLC,,,,
TheSmithsonianChannel,The Smithsonian Channel,,organization,,2,The Smithsonian Channel,,,,
HBO,HBO,,organization,,1,HBO,,,,
CharlesSpencer,Charles,,person,,1,Charles Spencer,Charles,,,
DodiFayed,Dodi Fayed,,person,,4,Dodi Fayed,Fayed,,,
HenriPaul,Henri Paul,,person,,1,Henri Paul,,,,
PhilHall,Phil Hall,,person,,1,Phil Hall,,,,
NewsoftheWorld,News of the World,,organization,,1,News of the World,,,,
PrinceWilliam,Prince William,,person,,1,Prince William,,,,
KateWilliams,Kate Williams,,person,,1,Kate Williams,,,,
TamronHall,Tamron Hall,,person,,1,Tamron Hall,,,,
NBC News,NBC News,,organization,,1,NBC News,,,,
PrinceCharles,Prince Charles,,person,Q43274,3,Prince Charles,,,,
TonyBlair,Tony Blair,,person,,1,Tony Blair,,,,
JohnTravolta,John Travolta,,person,,1,John Travolta,,,,
London,London,,place,,2,London,,,,
Angola,Angola,,place,,1,Angola,,,,
AndrewMorton,Andrew Morton,,person,,3,Andrew Morton,,,,
LordFermoy,Lord Fermoy,,person,,1,Lord Fermoy,,,,
MarilynMonroe,Marilyn Monroe,,person,,1,Marilyn Monroe,,,,
Beyoncé,Beyoncé,,person,,1,Beyoncé,,,,
KimKardashian,Kim Kardashian,,person,,1,Kim Kardashian,,,,
TaylorSwift,Taylor Swift,,person,,1,Taylor Swift,,,,
TimBerners-Lee,Tim Berners-Lee,,person,,2,Tim Berners-Lee,Berners-Lee,,,
BBC,BBC,,organization,,1,BBC,,,,
TheNewYorkTimes,The New York Times,,organization,,1,The New York Times,,,,
KatherineRosman,Katherine Rosman,,person,,1,Katherine Rosman,,,,
